CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1985,635,635,635,635,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1986,802,802,802,802,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1987,222,222,222,222,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1988,345,345,345,345,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1989,830,830,830,830,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1990,1032,1032,1032,1032,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1991,595,595,595,595,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1992,351,351,351,351,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1993,507,507,507,507,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1994,782,782,782,782,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1995,503,503,503,503,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1996,1424,1424,1424,1424,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1997,599,599,599,599,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1998,211,211,211,211,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,1999,461,461,461,461,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2000,95,95,95,95,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2001,727,727,727,727,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2002,434,434,434,434,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2003,979,979,979,979,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2004,556,556,556,556,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2005,1067,1067,1067,1067,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2006,715,715,715,715,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2007,191,191,191,191,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2008,65,65,65,65,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2009,631,631,631,631,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2010,382,382,382,382,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2011,231,231,231,231,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2012,NA,NA,NA,NA,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2013,NA,NA,NA,NA,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2014,NA,NA,NA,NA,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2015,670,670,670,670,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2016,828,828,828,828,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2017,NA,NA,NA,NA,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2018,NA,NA,NA,NA,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2019,33,33,33,33,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2020,40,40,40,40,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2021,33,33,33,33,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2022,85,85,85,85,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2023,246,246,246,246,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2024,328,328,328,328,NA,NA,1969,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1985,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1986,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1987,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1988,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1989,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1990,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1991,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1992,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1993,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1994,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1995,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1996,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1997,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1998,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1999,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2000,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2001,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2002,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2003,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2004,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2005,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2006,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2007,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2008,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2009,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2010,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2011,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2012,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2013,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2014,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2015,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2016,NA,NA,NA,NA,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2017,3098,3098,3098,3098,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2018,2245,2245,2245,2245,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2019,1227,1227,1227,1227,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2020,940,940,940,940,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2021,521,521,521,521,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2022,641,641,641,641,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2023,509,509,509,509,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2024,1528,1528,1528,1528,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1985,4009.791418,4009.791418,4009.791418,4009.791418,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1986,4511.10943,4511.10943,4511.10943,4511.10943,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1987,4517.06376,4517.06376,4517.06376,4517.06376,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1988,3021.194561,3021.194561,3021.194561,3021.194561,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1989,8304.350662,8304.350662,8304.350662,8304.350662,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1990,5066.712013,5066.712013,5066.712013,5066.712013,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1991,7033.295778,7033.295778,7033.295778,7033.295778,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1992,4184.022221,4184.022221,4184.022221,4184.022221,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1993,4079.316156,4079.316156,4079.316156,4079.316156,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1994,5307.578208,5307.578208,5307.578208,5307.578208,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1995,9346.875528,9346.875528,9346.875528,9346.875528,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1996,7546.31696,7546.31696,7546.31696,7546.31696,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1997,11531.00992,11531.00992,11531.00992,11531.00992,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1998,2064.872622,2064.872622,2064.872622,2064.872622,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,1999,4432.169874,4432.169874,4432.169874,4432.169874,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2000,3321.710847,3321.710847,3321.710847,3321.710847,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2001,6613.943665,6613.943665,6613.943665,6613.943665,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2002,8656.714268,8656.714268,8656.714268,8656.714268,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2003,10016.71626,10016.71626,10016.71626,10016.71626,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2004,5112.048317,5112.048317,5112.048317,5112.048317,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2005,5618,5618,5618,5618,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2006,7308,7308,7308,7308,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2007,4506,4506,4506,4506,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2008,1329,1329,1329,1329,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2009,9261,9261,9261,9261,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2010,3817,3817,3817,3817,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2011,5156,5156,5156,5156,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2012,2584,2584,2584,2584,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2013,3242,3242,3242,3242,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2014,6321,6321,6321,6321,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2015,10078,10078,10078,10078,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2016,6761,6761,6761,6761,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2017,5672,5672,5672,5672,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2018,5159,5159,5159,5159,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2019,3874,3874,3874,3874,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2020,1635,1635,1635,1635,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2021,1958,1958,1958,1958,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2022,1977.942118,1977.942118,1977.942118,1977.942118,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2023,1795,1795,1795,1795,NA,NA,1985,TRUE,CK_Yukon
CK-70,Big Salmon,Chinook,2024,1899,1899,1899,1899,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1985,3112.302114,3112.302114,3112.302114,3112.302114,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1986,1138.112154,1138.112154,1138.112154,1138.112154,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1987,571.6334483,571.6334483,571.6334483,571.6334483,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1988,1061.293267,1061.293267,1061.293267,1061.293267,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1989,608.210756,608.210756,608.210756,608.210756,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1990,540.0619521,540.0619521,540.0619521,540.0619521,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1991,538.6600785,538.6600785,538.6600785,538.6600785,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1992,499.9729584,499.9729584,499.9729584,499.9729584,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1993,1058.070335,1058.070335,1058.070335,1058.070335,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1994,2747.468349,2747.468349,2747.468349,2747.468349,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1995,4343.508009,4343.508009,4343.508009,4343.508009,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1996,3760.847251,3760.847251,3760.847251,3760.847251,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1997,1131.083698,1131.083698,1131.083698,1131.083698,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1998,2399.01805,2399.01805,2399.01805,2399.01805,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1999,1903.173097,1903.173097,1903.173097,1903.173097,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2000,1570.912677,1570.912677,1570.912677,1570.912677,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2001,718.4851461,718.4851461,718.4851461,718.4851461,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2002,1253.788946,1253.788946,1253.788946,1253.788946,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2003,1459.479285,1459.479285,1459.479285,1459.479285,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2004,2365.570737,2365.570737,2365.570737,2365.570737,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2005,1167.355568,1167.355568,1167.355568,1167.355568,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2006,3848.025136,3848.025136,3848.025136,3848.025136,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2007,1978.499823,1978.499823,1978.499823,1978.499823,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2008,671.7106408,671.7106408,671.7106408,671.7106408,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2009,1798.821184,1798.821184,1798.821184,1798.821184,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2010,2301.759751,2301.759751,2301.759751,2301.759751,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2011,623.1391246,623.1391246,623.1391246,623.1391246,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2012,416.6265227,416.6265227,416.6265227,416.6265227,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2013,1.222319817,1.222319817,1.222319817,1.222319817,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2014,7480.712053,7480.712053,7480.712053,7480.712053,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2015,1353.714646,1353.714646,1353.714646,1353.714646,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2016,4867.470386,4867.470386,4867.470386,4867.470386,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2017,3442.503292,3442.503292,3442.503292,3442.503292,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2018,584.6967783,584.6967783,584.6967783,584.6967783,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2019,3137.90797,3137.90797,3137.90797,3137.90797,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2020,302.6602139,302.6602139,302.6602139,302.6602139,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2021,1330.169087,1330.169087,1330.169087,1330.169087,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2022,659.8733632,659.8733632,659.8733632,659.8733632,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2023,1524.113296,1524.113296,1524.113296,1524.113296,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2024,2085.272793,2085.272793,2085.272793,2085.272793,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1985,7867.92312,7867.92312,7867.92312,7867.92312,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1986,10456.27577,10456.27577,10456.27577,10456.27577,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1987,12177.00381,12177.00381,12177.00381,12177.00381,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1988,7143.731663,7143.731663,7143.731663,7143.731663,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1989,18035.50328,18035.50328,18035.50328,18035.50328,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1990,31697.0116,31697.0116,31697.0116,31697.0116,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1991,11576.36174,11576.36174,11576.36174,11576.36174,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1992,11259.57311,11259.57311,11259.57311,11259.57311,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1993,8896.5646,8896.5646,8896.5646,8896.5646,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1994,10949.93589,10949.93589,10949.93589,10949.93589,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1995,8380.339832,8380.339832,8380.339832,8380.339832,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1996,10004.15661,10004.15661,10004.15661,10004.15661,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1997,9965.291856,9965.291856,9965.291856,9965.291856,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1998,4207.008068,4207.008068,4207.008068,4207.008068,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1999,6644.386349,6644.386349,6644.386349,6644.386349,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2000,5171.573539,5171.573539,5171.573539,5171.573539,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2001,10532.51052,10532.51052,10532.51052,10532.51052,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2002,6562.437122,6562.437122,6562.437122,6562.437122,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2003,22212.31855,22212.31855,22212.31855,22212.31855,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2004,10771.18185,10771.18185,10771.18185,10771.18185,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2005,11470.53394,11470.53394,11470.53394,11470.53394,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2006,12487.22717,12487.22717,12487.22717,12487.22717,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2007,8766.71639,8766.71639,8766.71639,8766.71639,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2008,4277.190212,4277.190212,4277.190212,4277.190212,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2009,15808.78089,15808.78089,15808.78089,15808.78089,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2010,7499.445862,7499.445862,7499.445862,7499.445862,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2011,8564.467445,8564.467445,8564.467445,8564.467445,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2012,6465.313837,6465.313837,6465.313837,6465.313837,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2013,11113.79274,11113.79274,11113.79274,11113.79274,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2014,6779.725334,6779.725334,6779.725334,6779.725334,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2015,16183.44551,16183.44551,16183.44551,16183.44551,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2016,13474.9952,13474.9952,13474.9952,13474.9952,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2017,8649.59406,8649.59406,8649.59406,8649.59406,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2018,7343.690453,7343.690453,7343.690453,7343.690453,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2019,4681.585156,4681.585156,4681.585156,4681.585156,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2020,6406.534821,6406.534821,6406.534821,6406.534821,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2021,5790.788158,5790.788158,5790.788158,5790.788158,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2022,941.0730269,941.0730269,941.0730269,941.0730269,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2023,1898.231048,1898.231048,1898.231048,1898.231048,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2024,1714.673076,1714.673076,1714.673076,1714.673076,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1985,9029.519018,9029.519018,9029.519018,9029.519018,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1986,10177.58551,10177.58551,10177.58551,10177.58551,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1987,10197.25283,10197.25283,10197.25283,10197.25283,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1988,6829.225497,6829.225497,6829.225497,6829.225497,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1989,18718.20845,18718.20845,18718.20845,18718.20845,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1990,11553.03018,11553.03018,11553.03018,11553.03018,NA,NA,1985,TRUE,CK_Yukon
